service_id,date,exception_type
"3441_345322","20220302","1"
"3441_345322","20220303","1"
"3441_345322","20220304","1"
"3441_345322","20220305","1"
"3441_345322","20220307","1"
"3441_345322","20220308","1"
"3441_345322","20220309","1"
"3441_345322","20220310","1"
"3441_345322","20220311","1"
"3441_345322","20220312","1"
"3441_345322","20220314","1"
"3441_345322","20220315","1"
"3441_345322","20220316","1"
"3441_345322","20220317","1"
"3441_345322","20220318","1"
"3441_345322","20220319","1"
"3441_345322","20220321","1"
"3441_345322","20220322","1"
"3441_345322","20220323","1"
"3441_345322","20220324","1"
"3441_345322","20220325","1"
"3441_345322","20220326","1"
"3441_345322","20220328","1"
"3441_345322","20220329","1"
"3441_345322","20220330","1"
"3441_345322","20220331","1"
"3441_345323","20220228","1"
"3441_345323","20220301","1"
"3441_345323","20220302","1"
"3441_345323","20220303","1"
"3441_345323","20220304","1"
"3441_345323","20220305","1"
"3441_345323","20220307","1"
"3441_345323","20220308","1"
"3441_345323","20220309","1"
"3441_345323","20220310","1"
"3441_345323","20220311","1"
"3441_345323","20220312","1"
"3441_345323","20220314","1"
"3441_345323","20220315","1"
"3441_345323","20220316","1"
"3441_345323","20220317","1"
"3441_345323","20220318","1"
"3441_345323","20220319","1"
"3441_345323","20220321","1"
"3441_345323","20220322","1"
"3441_345323","20220323","1"
"3441_345323","20220324","1"
"3441_345323","20220325","1"
"3441_345323","20220326","1"
"3441_345323","20220328","1"
"3441_345323","20220329","1"
"3441_345323","20220330","1"
"3441_345323","20220331","1"
"3441_345324","20220228","1"
"3441_345324","20220301","1"
"3441_345324","20220302","1"
"3441_345324","20220303","1"
"3441_345324","20220304","1"
"3441_345324","20220305","1"
"3441_345324","20220307","1"
"3441_345324","20220308","1"
"3441_345324","20220309","1"
"3441_345324","20220310","1"
"3441_345324","20220311","1"
"3441_345324","20220312","1"
"3441_345324","20220314","1"
"3441_345324","20220315","1"
"3441_345324","20220316","1"
"3441_345324","20220317","1"
"3441_345324","20220318","1"
"3441_345324","20220319","1"
"3441_345324","20220321","1"
"3441_345324","20220322","1"
"3441_345324","20220323","1"
"3441_345324","20220324","1"
"3441_345324","20220325","1"
"3441_345324","20220326","1"
"3441_345324","20220328","1"
"3441_345324","20220329","1"
"3441_345324","20220330","1"
"3441_345324","20220331","1"
"3441_345325","20220306","1"
"3441_345325","20220313","1"
"3441_345325","20220320","1"
"3441_345325","20220327","1"
"3441_345326","20220228","1"
"3441_345326","20220301","1"
"3441_345326","20220302","1"
"3441_345326","20220303","1"
"3441_345326","20220304","1"
"3441_345326","20220305","1"
"3441_345326","20220306","1"
"3441_345326","20220307","1"
"3441_345326","20220308","1"
"3441_345326","20220309","1"
"3441_345326","20220310","1"
"3441_345326","20220311","1"
"3441_345326","20220312","1"
"3441_345326","20220313","1"
"3441_345326","20220314","1"
"3441_345326","20220315","1"
"3441_345326","20220316","1"
"3441_345326","20220317","1"
"3441_345326","20220318","1"
"3441_345326","20220319","1"
"3441_345326","20220320","1"
"3441_345326","20220321","1"
"3441_345326","20220322","1"
"3441_345326","20220323","1"
"3441_345326","20220324","1"
"3441_345326","20220325","1"
"3441_345326","20220326","1"
"3441_345326","20220327","1"
"3441_345326","20220328","1"
"3441_345326","20220329","1"
"3441_345326","20220330","1"
"3441_345326","20220331","1"
"3441_345327","20220228","1"
"3441_345327","20220301","1"
"3441_345327","20220302","1"
"3441_345327","20220303","1"
"3441_345327","20220304","1"
"3441_345327","20220305","1"
"3441_345327","20220307","1"
"3441_345327","20220308","1"
"3441_345327","20220309","1"
"3441_345327","20220310","1"
"3441_345327","20220311","1"
"3441_345327","20220312","1"
"3441_345327","20220314","1"
"3441_345327","20220315","1"
"3441_345327","20220316","1"
"3441_345327","20220317","1"
"3441_345327","20220318","1"
"3441_345327","20220319","1"
"3441_345327","20220321","1"
"3441_345327","20220322","1"
"3441_345327","20220323","1"
"3441_345327","20220324","1"
"3441_345327","20220325","1"
"3441_345327","20220326","1"
"3441_345327","20220328","1"
"3441_345327","20220329","1"
"3441_345327","20220330","1"
"3441_345327","20220331","1"
"3441_345328","20220228","1"
"3441_345328","20220301","1"
"3441_345328","20220302","1"
"3441_345328","20220303","1"
"3441_345328","20220304","1"
"3441_345328","20220305","1"
"3441_345328","20220307","1"
"3441_345328","20220308","1"
"3441_345328","20220309","1"
"3441_345328","20220310","1"
"3441_345328","20220311","1"
"3441_345328","20220312","1"
"3441_345328","20220314","1"
"3441_345328","20220315","1"
"3441_345328","20220316","1"
"3441_345328","20220317","1"
"3441_345328","20220318","1"
"3441_345328","20220319","1"
"3441_345328","20220321","1"
"3441_345328","20220322","1"
"3441_345328","20220323","1"
"3441_345328","20220324","1"
"3441_345328","20220325","1"
"3441_345328","20220326","1"
"3441_345328","20220328","1"
"3441_345328","20220329","1"
"3441_345328","20220330","1"
"3441_345328","20220331","1"
"3441_345329","20220228","1"
"3441_345329","20220301","1"
"3441_345329","20220302","1"
"3441_345329","20220303","1"
"3441_345329","20220304","1"
"3441_345329","20220305","1"
"3441_345329","20220307","1"
"3441_345329","20220308","1"
"3441_345329","20220309","1"
"3441_345329","20220310","1"
"3441_345329","20220311","1"
"3441_345329","20220312","1"
"3441_345329","20220314","1"
"3441_345329","20220315","1"
"3441_345329","20220316","1"
"3441_345329","20220317","1"
"3441_345329","20220318","1"
"3441_345329","20220319","1"
"3441_345329","20220321","1"
"3441_345329","20220322","1"
"3441_345329","20220323","1"
"3441_345329","20220324","1"
"3441_345329","20220325","1"
"3441_345329","20220326","1"
"3441_345329","20220328","1"
"3441_345329","20220329","1"
"3441_345329","20220330","1"
"3441_345329","20220331","1"
"3441_345330","20220228","1"
"3441_345330","20220301","1"
"3441_345330","20220302","1"
"3441_345330","20220303","1"
"3441_345330","20220304","1"
"3441_345330","20220305","1"
"3441_345330","20220307","1"
"3441_345330","20220308","1"
"3441_345330","20220309","1"
"3441_345330","20220310","1"
"3441_345330","20220311","1"
"3441_345330","20220312","1"
"3441_345330","20220314","1"
"3441_345330","20220315","1"
"3441_345330","20220316","1"
"3441_345330","20220317","1"
"3441_345330","20220318","1"
"3441_345330","20220319","1"
"3441_345330","20220321","1"
"3441_345330","20220322","1"
"3441_345330","20220323","1"
"3441_345330","20220324","1"
"3441_345330","20220325","1"
"3441_345330","20220326","1"
"3441_345330","20220328","1"
"3441_345330","20220329","1"
"3441_345330","20220330","1"
"3441_345330","20220331","1"
"3441_345331","20220228","1"
"3441_345331","20220301","1"
"3441_345331","20220302","1"
"3441_345331","20220303","1"
"3441_345331","20220304","1"
"3441_345331","20220305","1"
"3441_345331","20220307","1"
"3441_345331","20220308","1"
"3441_345331","20220309","1"
"3441_345331","20220310","1"
"3441_345331","20220311","1"
"3441_345331","20220312","1"
"3441_345331","20220314","1"
"3441_345331","20220315","1"
"3441_345331","20220316","1"
"3441_345331","20220317","1"
"3441_345331","20220318","1"
"3441_345331","20220319","1"
"3441_345331","20220321","1"
"3441_345331","20220322","1"
"3441_345331","20220323","1"
"3441_345331","20220324","1"
"3441_345331","20220325","1"
"3441_345331","20220326","1"
"3441_345331","20220328","1"
"3441_345331","20220329","1"
"3441_345331","20220330","1"
"3441_345331","20220331","1"
"3441_345332","20220306","1"
"3441_345332","20220313","1"
"3441_345332","20220320","1"
"3441_345332","20220327","1"
"3441_345333","20220228","1"
"3441_345333","20220301","1"
"3441_345333","20220302","1"
"3441_345333","20220303","1"
"3441_345333","20220304","1"
"3441_345333","20220305","1"
"3441_345333","20220306","1"
"3441_345333","20220307","1"
"3441_345333","20220308","1"
"3441_345333","20220309","1"
"3441_345333","20220310","1"
"3441_345333","20220311","1"
"3441_345333","20220312","1"
"3441_345333","20220313","1"
"3441_345333","20220314","1"
"3441_345333","20220315","1"
"3441_345333","20220316","1"
